"","x"
"1","AAI"
"2","AED"
"3","AFI"
"4","AII"
"5","AKM"
"6","ANM"
"7","ASF"
"8","AUX"
"9","AWF"
"10","AYT"
"11","AZB"
"12","AZF"
"13","BAL"
"14","BAV"
"15","BAZ"
"16","BBE"
"17","BEY"
"18","BFK"
"19","BGH"
"20","BKR"
"21","BOF"
"22","BQR"
"23","BRT"
"24","BUL"
"25","BUS"
"26","BWZ"
"27","BXV"
"28","CER"
"29","CGZ"
"30","CHC"
"31","CQJ"
"32","CSN"
"33","CVN"
"34","DEA"
"35","DIQ"
"36","DKW"
"37","DOW"
"38","DSH"
"39","DYH"
"40","DZP"
"41","EAM"
"42","EDK"
"43","EEE"
"44","EID"
"45","EKB"
"46","EMC"
"47","END"
"48","ENF"
"49","ESN"
"50","ESO"
"51","EWC"
"52","EZZ"
"53","FKN"
"54","FNH"
"55","FPU"
"56","FTB"
"57","FXR"
"58","GBC"
"59","GHB"
"60","GJU"
"61","GSN"
"62","GUO"
"63","GUQ"
"64","HEG"
"65","HLV"
"66","IBY"
"67","IIA"
"68","IOP"
"69","IPZ"
"70","IYA"
"71","JCF"
"72","JDM"
"73","JEG"
"74","JHB"
"75","JHP"
"76","JHT"
"77","JMM"
"78","JQG"
"79","JSY"
"80","JYV"
"81","KHA"
"82","KHJ"
"83","KJU"
"84","KQW"
"85","LMQ"
"86","LPE"
"87","LPG"
"88","LPQ"
"89","LQC"
"90","LQM"
"91","LVT"
"92","MAM"
"93","MBW"
"94","MDN"
"95","MHJ"
"96","MHY"
"97","MJW"
"98","MLY"
"99","MMZ"
"100","MRR"
"101","MSA"
"102","MUG"
"103","MWS"
"104","MXK"
"105","MYE"
"106","MZE"
"107","NLS"
"108","NSD"
"109","NXI"
"110","OUP"
"111","OWD"
"112","OWR"
"113","OZC"
"114","OZN"
"115","OZQ"
"116","PDT"
"117","PEA"
"118","PKA"
"119","PKM"
"120","QDZ"
"121","QEY"
"122","QGZ"
"123","QJV"
"124","QLC"
"125","QNV"
"126","QQZ"
"127","QWR"
"128","RHV"
"129","RIF"
"130","RVL"
"131","RWX"
"132","RXC"
"133","RXO"
"134","RXY"
"135","SAK"
"136","SNA"
"137","SNS"
"138","SXU"
"139","TGN"
"140","THV"
"141","TPE"
"142","TTT"
"143","TXH"
"144","TZE"
"145","UBD"
"146","UFY"
"147","UIF"
"148","UKZ"
"149","URS"
"150","VDO"
"151","VDZ"
"152","VIP"
"153","VJC"
"154","VJV"
"155","VKY"
"156","VMD"
"157","VQQ"
"158","VQR"
"159","VZD"
"160","WCO"
"161","WNI"
"162","WVE"
"163","WYG"
"164","WZF"
"165","XIL"
"166","XKT"
"167","XUE"
"168","XVF"
"169","YFW"
"170","YKF"
"171","YRL"
"172","YST"
"173","YUB"
"174","YXZ"
"175","YYV"
"176","ZGJ"
"177","ZJN"
"178","ZKV"
"179","ZPZ"
"180","ZRT"
"181","ZUA"
"182","ZZL"
